yadav,945243563,ankit@gmail.com,india
rahul,9876543210,rahul@gmail.com,"mumbai,india"
sneha,9123456789,sneha@yahoo.com,"pune,india"
amit,9001234567,amit@hotmail.com,"bangalore,india"
neha,8787878787,neha@outlook.com,"kolkata,india"
rohit,9988776655,rohit@gmail.com,"hyderabad,india"
priya,8877665544,priya@gmail.com,"chennai,india"
ajay,8899001122,ajay@gmail.com,"lucknow,india"
sonam,8899776655,sonam@ymail.com,"bhopal,india"
deepak,7766554433,deepak@gmail.com,"jaipur,india"
manish,7654321987,manish@gmail.com,"kanpur,india"
swati,7000123456,swati@gmail.com,"nagpur,india"
vijay,9998887776,vijay@gmail.com,"patna,india"
ritu,9111223344,ritu@gmail.com,"ranchi,india"
kiran,8000111222,kiran@gmail.com,"noida,india"
gopal,9990001112,gopal@gmail.com,"surat,india"
kavita,9554433221,kavita@gmail.com,"ahmedabad,india"
ramesh,9443322110,ramesh@gmail.com,"kochi,india"
pooja,9332211009,pooja@gmail.com,"indore,india"
karan,8127581475,karan@gmail.com,"delhi,india"
shubham,1234134,shubham@gamil.com,india
manish,21442355,manish@gmail.com,india
